"onetoken" "Freq" "do.call..rbind...strsplit.as.character..onetoken.onetoken...."
"12266" "free" 193 "free"
"13148" "god" 193 "god"
"32148" "times" 193 "times"
"22100" "old" 191 "old"
"31947" "thought" 190 "thought"
"23392" "percent" 189 "percent"
"30088" "start" 189 "start"
"27917" "season" 188 "season"
"15402" "ill" 186 "ill"
"27120" "rt" 186 "rt"
"12148" "found" 184 "found"
"35575" "yet" 183 "yet"
"33678" "used" 182 "used"
"14914" "hope" 181 "hope"
"10275" "enough" 178 "enough"
"23942" "play" 178 "play"
"12160" "four" 177 "four"
"6273" "company" 176 "company"
"32280" "told" 175 "told"
"18024" "let" 174 "let"
"20455" "money" 174 "money"
"24065" "point" 174 "point"
"9090" "doing" 173 "doing"
"24040" "pm" 173 "pm"
"4549" "called" 172 "called"
"18347" "live" 172 "live"
"18976" "making" 170 "making"
"974" "already" 169 "already"
"11960" "follow" 169 "follow"
"31823" "theres" 169 "theres"
"2310" "bad" 168 "bad"
"22166" "once" 168 "once"
"17873" "least" 167 "least"
"25658" "read" 167 "read"
"27191" "run" 167 "run"
"34690" "went" 167 "went"
"4542" "call" 166 "call"
"33254" "under" 165 "under"
"14052" "hard" 164 "hard"
"25677" "real" 164 "real"
"5421" "children" 163 "children"
"28249" "set" 163 "set"
"24100" "police" 162 "police"
"32339" "took" 162 "took"
"29971" "st" 161 "st"
"11983" "food" 160 "food"
"20570" "morning" 160 "morning"
"22051" "oh" 160 "oh"
"32354" "top" 160 "top"
"1395" "anything" 159 "anything"
"8583" "different" 159 "different"
"3209" "bit" 158 "bit"
"18545" "looking" 158 "looking"
"25040" "public" 158 "public"
"32868" "trying" 158 "trying"
"17697" "later" 157 "later"
"24607" "pretty" 157 "pretty"
"4360" "business" 156 "business"
"7067" "county" 156 "county"
"12355" "friends" 156 "friends"
"27253" "s" 156 "s"
"953" "almost" 155 "almost"
"4581" "came" 154 "came"
"30356" "story" 152 "story"
"12490" "fun" 151 "fun"
"1393" "anyone" 150 "anyone"
"20859" "music" 150 "music"
"29462" "someone" 150 "someone"
"34470" "water" 150 "water"
"669" "ago" 149 "ago"
"9667" "early" 148 "early"
"20881" "must" 148 "must"
"6188" "coming" 147 "coming"
"10644" "everyone" 147 "everyone"
"18013" "less" 147 "less"
"16351" "isnt" 146 "isnt"
"35218" "working" 146 "working"
"346" "actually" 144 "actually"
"23109" "past" 144 "past"
"2864" "believe" 143 "believe"
"18970" "makes" 143 "makes"
"30089" "started" 143 "started"
"15642" "including" 142 "including"
"16686" "job" 142 "job"
"13600" "group" 141 "group"
"18477" "lol" 141 "lol"
"32866" "try" 141 "try"
"20975" "name" 140 "name"
"34595" "weeks" 140 "weeks"
"17164" "kids" 139 "kids"
"26984" "room" 139 "room"
"31542" "tell" 138 "tell"
"3243" "black" 137 "black"
"11149" "far" 137 "far"
"11680" "five" 137 "five"
"18594" "lost" 137 "lost"
"20187" "minutes" 137 "minutes"
"35567" "yes" 137 "yes"
"29510" "soon" 136 "soon"
"103" "able" 135 "able"
"4760" "care" 135 "care"
"14317" "heart" 135 "heart"
"21671" "nothing" 135 "nothing"
"34816" "white" 135 "white"
"3359" "blog" 134 "blog"
"10646" "everything" 134 "everything"
"17764" "law" 134 "law"
"958" "along" 133 "along"
"22047" "often" 133 "often"
"23489" "person" 133 "person"
"219" "according" 132 "according"
"20503" "month" 132 "month"
"5174" "change" 131 "change"
"15056" "however" 131 "however"
"17204" "kind" 131 "kind"
"28277" "several" 131 "several"
"29185" "small" 131 "small"
"33694" "using" 131 "using"
"34389" "wanted" 131 "wanted"
"34971" "win" 131 "win"
"4731" "car" 130 "car"
"30876" "support" 130 "support"
"5061" "center" 129 "center"
"14301" "health" 129 "health"
"4874" "case" 128 "case"
"14265" "head" 128 "head"
"32266" "together" 128 "together"
"32324" "tonight" 128 "tonight"
"6175" "comes" 127 "comes"
"7083" "course" 127 "course"
"12469" "full" 127 "full"
"20509" "months" 127 "months"
"21760" "number" 127 "number"
"19465" "maybe" 126 "maybe"
"22261" "open" 126 "open"
"1795" "asked" 125 "asked"
"13291" "government" 125 "government"
"27567" "saw" 124 "saw"
"15021" "hours" 123 "hours"
"28013" "seen" 123 "seen"
"15322" "id" 122 "id"
"21358" "nice" 122 "nice"
"34453" "wasnt" 122 "wasnt"
"20910" "myself" 121 "myself"
"28712" "side" 121 "side"
"30331" "stop" 121 "stop"
"7063" "country" 120 "country"
"12334" "friday" 120 "friday"
"14708" "hit" 120 "hit"
"17692" "late" 120 "late"
"24568" "president" 119 "president"
"34839" "whole" 119 "whole"
"35135" "women" 119 "women"
"12643" "games" 118 "games"
"24271" "post" 118 "post"
"31721" "thank" 118 "thank"
"309" "across" 117 "across"
"2793" "beer" 117 "beer"
"22479" "others" 117 "others"
"34300" "wait" 116 "wait"
"32833" "true" 115 "true"
"2757" "become" 114 "become"
"23901" "plan" 114 "plan"
"31262" "talk" 114 "talk"
"15539" "important" 113 "important"
"23981" "please" 113 "please"
"30145" "stay" 113 "stay"
"371" "add" 112 "add"
"1080" "american" 112 "american"
"10017" "else" 112 "else"
"22019" "office" 112 "office"
"23215" "pay" 112 "pay"
"11015" "fact" 111 "fact"
"31247" "taking" 111 "taking"
"18161" "light" 110 "light"
"21046" "national" 110 "national"
"25331" "quite" 110 "quite"
"27581" "saying" 110 "saying"
"34589" "weekend" 110 "weekend"
"35621" "young" 110 "young"
"7575" "cut" 109 "cut"
"10993" "face" 109 "face"
"18028" "lets" 109 "lets"
"18243" "line" 109 "line"
"19585" "mean" 109 "mean"
"20446" "monday" 109 "monday"
"7086" "court" 108 "court"
"10824" "experience" 108 "experience"
"11255" "favorite" 108 "favorite"
"13753" "guys" 108 "guys"
"18417" "local" 108 "local"
"23957" "playing" 108 "playing"
"26193" "remember" 108 "remember"
"1602" "area" 107 "area"
"16709" "john" 107 "john"
"1794" "ask" 106 "ask"
"12349" "friend" 106 "friend"
"13004" "girl" 106 "girl"
"24360" "power" 106 "power"
"24721" "probably" 106 "probably"
"28238" "service" 106 "service"
"35605" "york" 106 "york"
"13023" "given" 105 "given"
